seriesId,seriesDescription,unit
SOEPGEN_HA,"Electric power sector net generation from utility-scale solar, Hawaii and Alaska",billion kilowatthours
GEEPGEN_HA,"Electric power sector net generation from geothermal, Hawaii and Alaska",billion kilowatthours
BMEPGEN_HA,"Electric power sector net generation from biomass, Hawaii and Alaska",billion kilowatthours
RTEPGEN_HA,"Electric power sector net generation from renewable energy (all types), Hawaii and Alaska",billion kilowatthours
RNEPGEN_HA,"Electric power sector net generation from renewables excluding hydropower, Hawaii and Alaska",billion kilowatthours
PAEPGEN_HA,"Electric power sector net generation from petroleum, Hawaii and Alaska",billion kilowatthours
OGEPGEN_HA,"Electric power sector net generation from other fossil gases, Hawaii and Alaska",billion kilowatthours
XXEPGEN_HA,"Electric power sector net generation from other energy sources, Hawaii and Alaska",billion kilowatthours
TOEPGEN_HA,"Electric power sector total net generation from all types of energy sources, Hawaii and Alaska",billion kilowatthours
ELLOAD_HA,"Net energy for electricity load, Hawaii and Alaska",billion kilowatthours
NGEPGEN_MW,"Electric power sector net generation from natural gas, Midwest (Midcontinent ISO)",billion kilowatthours
CLEPGEN_MW,"Electric power sector net generation from coal, Midwest (Midcontinent ISO)",billion kilowatthours
NUEPGEN_MW,"Electric power sector net generation from nuclear, Midwest (Midcontinent ISO)",billion kilowatthours
HPEPGEN_MW,"Electric power sector net generation from pumped storage hydropower, Midwest (Midcontinent ISO)",billion kilowatthours
HVEPGEN_MW,"Electric power sector net generation from conventional hydropower, Midwest (Midcontinent ISO)",billion kilowatthours
WNEPGEN_MW,"Electric power sector net generation from wind, Midwest (Midcontinent ISO)",billion kilowatthours
GEEPGEN_MW,"Electric power sector net generation from geothermal, Midwest (Midcontinent ISO)",billion kilowatthours
NGCCP_ESC,"Natural Gas Consumption Commercial Sector, E. S. Central",billion cubic feet per day
RNEPGEN_NE,"Electric power sector net generation from renewables excluding hydropower, New England (ISO-NE)",billion kilowatthours
OGEPGEN_NE,"Electric power sector net generation from other fossil gases, New England (ISO-NE)",billion kilowatthours
HVEPGEN_NY,"Electric power sector net generation from conventional hydropower, New York (NYISO)",billion kilowatthours
WNEPGEN_NY,"Electric power sector net generation from wind, New York (NYISO)",billion kilowatthours
SOEPGEN_NY,"Electric power sector net generation from utility-scale solar, New York (NYISO)",billion kilowatthours
GEEPGEN_NY,"Electric power sector net generation from geothermal, New York (NYISO)",billion kilowatthours
BMEPGEN_NY,"Electric power sector net generation from biomass, New York (NYISO)",billion kilowatthours
PAEPCNS_PJ,"Electric power sector  consumption of petroleum, Mid-Atlantic (PJM)",thousand barrels
